Smiles,IC50_uM,pIC50
N#Cc1cc(Cl)cc(Oc2cc(OCC(=O)Nc3ccc(S(N)(=O)=O)cc3Cl)ccc2Cl)c1,0.00028,9.552841969
CS(=O)(=O)c1ccc2c(c1)CCN2C(=O)COc1ccc(Cl)c(Oc2cc(Cl)cc(C#N)c2)c1,0.00033,9.48148606
Cc1cc(C#N)cc(C)c1Nc1nc(Nc2ccc(C#N)cc2)ncc1Br,0.0004,9.397940009
N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4nc(N)ccc34)ccc2Cl)c1,0.0004,9.397940009
N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4ncccc34)ccc2Cl)c1,0.0005,9.301029996
Cc1cc(C#N)cc(C(=O)c2cc(Cl)ccc2OCC(=O)Nc2ccc(S(N)(=O)=O)cc2C)c1,0.0008913,9.049976093
Cc1cc(S(N)(=O)=O)ccc1NC(=O)COc1ccc(Cl)cc1C(=O)c1cc(Cl)cc(C#N)c1,0.001,9
CCc1c(C)[nH]c(=O)c(N(C)CCOC)c1Cc1cccc(C)c1,0.001,9
N#Cc1cc(Cl)cc(Oc2c(F)c(CCc3ccncc3)[nH]c(=O)c2Br)c1,0.001,9
Cc1cc(S(N)(=O)=O)ccc1NC(=O)COc1ccc(Cl)cc1C(=O)c1cc(C#N)cc(C(F)(F)F)c1,0.001096,8.960189446
N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4ccccc34)ccc2Cl)c1,0.0011,8.958607315
Cc1cc(C#N)cc(C)c1Nc1nc(Nc2ccc(C#N)cc2)ncc1Cl,0.0012,8.920818754
Cc1cc(C#N)ccc1-c1ccnc(NCc2n[nH]c3ncccc23)c1,0.0012,8.920818754
C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(N)nc32)C[C@@H]1O,0.0013,8.886056648
Cc1cc(/C=C/C#N)cc(C)c1Nc1nc(Nc2ccc(C#N)cc2)nc(OCCCN2CCOCC2)n1,0.0013,8.886056648
N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4cnccc34)ccc2Cl)c1,0.0013,8.886056648
CS(=O)(=O)c1ccc(NC(=O)COc2ccc(Cl)c(Oc3cc(Cl)cc(C#N)c3)c2)c(Cl)c1,0.00133,8.876148359
C#C[C@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@@H]1O,0.0014,8.853871964
N#Cc1cc(Cl)cc(Oc2cc(OCc3nc4cccc(Cl)c4o3)ccc2Cl)c1,0.00141,8.850780887
C#C[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)C[C@@H]1O,0.0015,8.823908741
Cc1cc(S(N)(=O)=O)ccc1NC(=O)COc1ccc(Cl)cc1C(=O)c1cccc(C#N)c1,0.001514,8.819874125
Cc1cc(C(C#N)c2ccccc2F)nc(Nc2ccc(C#N)cc2)n1,0.0018,8.744727495
N#Cc1cc2c(Oc3ccccc3OCCn3ccc(=O)[nH]c3=O)cccn2c1,0.0019,8.721246399
Cc1cc(S(N)(=O)=O)ccc1NC(=O)COc1ccc(Cl)cc1C(=O)c1cc(F)cc(C(F)(F)F)c1,0.001995,8.7000571
CNS(=O)(=O)c1ccc(NC(=O)COc2ccc(Cl)cc2C(=O)c2cc(F)cc(C(F)(F)F)c2)c(C)c1,0.001995,8.7000571
Cc1cc(Cc2ccc(Cl)c(Oc3cc(F)cc(C#N)c3)c2F)n[nH]c1=O,0.002,8.698970004
CCc1c(C)[nH]c(=O)c(N(C)CCOC)c1Cc1cc(C)cc(C)c1,0.002,8.698970004
CO[C@@H](c1nc(SC(C)C)[nH]c(=O)c1C)c1c(F)cccc1Cl,0.002,8.698970004
NCCCNC(=O)c1ccc(NC(=O)CSC(=O)N2CCCc3cc(Cl)cc(Cl)c32)c(Cl)c1,0.002,8.698970004
N#C/C=C/c1cc(Cl)cc(Oc2ccccc2OCCn2ccc(=O)[nH]c2=O)c1,0.0021,8.677780705
